COUNTRY CODE,INDICATOR,SUBJECT,MEASURE,FREQUENCY,TIME,VALUE
AUS,SUICIDE,TOT,100000PER,A,2010,10.9
AUT,SUICIDE,TOT,100000PER,A,2012,13.7
BEL,SUICIDE,TOT,100000PER,A,2012,17.4
CAN,SUICIDE,TOT,100000PER,A,2010,11.2
CZE,SUICIDE,TOT,100000PER,A,2012,14.7
DNK,SUICIDE,TOT,100000PER,A,2012,11.3
FIN,SUICIDE,TOT,100000PER,A,2012,15.6
FRA,SUICIDE,TOT,100000PER,A,2011,15.8
DEU,SUICIDE,TOT,100000PER,A,2011,10.8
GRC,SUICIDE,TOT,100000PER,A,2012,4.2
HUN,SUICIDE,TOT,100000PER,A,2012,22
ISL,SUICIDE,TOT,100000PER,A,2009,11.8
IRL,SUICIDE,TOT,100000PER,A,2010,11
ITA,SUICIDE,TOT,100000PER,A,2012,6.3
JPN,SUICIDE,TOT,100000PER,A,2008,21.8
KOR,SUICIDE,TOT,100000PER,A,2012,29.1
LUX,SUICIDE,TOT,100000PER,A,2012,9.4
MEX,SUICIDE,TOT,100000PER,A,2012,5
NLD,SUICIDE,TOT,100000PER,A,2013,10.5
NZL,SUICIDE,TOT,100000PER,A,2011,11.3
NOR,SUICIDE,TOT,100000PER,A,2012,10.2
POL,SUICIDE,TOT,100000PER,A,2012,15.7
PRT,SUICIDE,TOT,100000PER,A,2012,9
ESP,SUICIDE,TOT,100000PER,A,2012,6.9
SWE,SUICIDE,TOT,100000PER,A,2012,11.6
CHE,SUICIDE,TOT,100000PER,A,2012,12
GBR,SUICIDE,TOT,100000PER,A,2012,7
USA,SUICIDE,TOT,100000PER,A,2010,12.5
BRA,SUICIDE,TOT,100000PER,A,2012,5.8
CHL,SUICIDE,TOT,100000PER,A,2012,11
EST,SUICIDE,TOT,100000PER,A,2012,16.6
ISR,SUICIDE,TOT,100000PER,A,2010,7.4
RUS,SUICIDE,TOT,100000PER,A,2011,21
SVN,SUICIDE,TOT,100000PER,A,2010,18.6
ZAF,SUICIDE,TOT,100000PER,A,2011,0.8
TUR,SUICIDE,TOT,100000PER,A,2012,2.1
COL,SUICIDE,TOT,100000PER,A,2011,4.8
LVA,SUICIDE,TOT,100000PER,A,2012,20.4
LTU,SUICIDE,TOT,100000PER,A,2012,29.5
